YEAR,MO,DY,HR,T2MDEW,T2MWET,T2M
2017,1,9,6,-8.2,-7.33,-6.45
2017,1,9,7,-7.97,-6.93,-5.89
2017,1,9,8,-7.24,-5.9,-4.56
2017,1,9,9,-5.98,-4,-2.03
2017,1,9,10,-5.78,-2.97,-0.17
2017,1,9,11,-5.24,-2.2,0.83
2017,1,9,12,-5.82,-2.17,1.48
2017,1,9,13,-5.36,-1.76,1.83
2017,1,9,14,-4.67,-1.39,1.87
2017,1,9,15,-3.06,-0.79,1.48
2017,1,9,16,-4.47,-2.04,0.39
2017,1,9,17,-5.23,-2.77,-0.31
2017,1,9,18,-4.71,-2.76,-0.81
2017,1,9,19,-4.16,-2.68,-1.2
2017,1,9,20,-3.85,-2.7,-1.56
2017,1,9,21,-3.88,-2.85,-1.84
2017,1,9,22,-4.2,-3.17,-2.14
2017,1,9,23,-4.71,-3.66,-2.6
2017,1,10,0,-4.7,-3.66,-2.61
2017,1,10,1,-4.66,-3.58,-2.5
2017,1,10,2,-4.61,-3.49,-2.37
2017,1,10,3,-4.02,-2.82,-1.63
2017,1,10,4,-3.34,-2.17,-0.99
2017,1,10,5,-2.86,-1.76,-0.66
2017,1,10,6,-2.32,-1.37,-0.42
2017,1,10,7,-1.52,-0.77,-0.02
2017,1,10,8,-0.65,-0.07,0.51
2017,1,10,9,0.03,0.74,1.46
2017,1,10,10,0.94,1.62,2.31
2017,1,10,11,1.8,2.3,2.8
2017,1,10,12,2.4,2.8,3.2
2017,1,10,13,2.39,2.69,2.98
2017,1,10,14,1.83,2.02,2.2
2017,1,10,15,1.53,1.65,1.77
2017,1,10,16,1.12,1.16,1.2
2017,1,10,17,0.77,0.82,0.87
2017,1,10,18,0.74,0.86,0.98
2017,1,10,19,0.71,0.9,1.08
2017,1,10,20,0.73,1.01,1.3
2017,1,10,21,0.73,1.15,1.58
2017,1,10,22,0.65,1.17,1.68
2017,1,10,23,0.51,1.01,1.5
2017,1,11,0,0.24,0.73,1.23
2017,1,11,1,-0.49,0.03,0.55
2017,1,11,2,-1.19,-0.62,-0.05
2017,1,11,3,-1.76,-1.09,-0.41
2017,1,11,4,-2.5,-1.7,-0.89
2017,1,11,5,-3.31,-2.45,-1.6
2017,1,11,6,-3.49,-2.75,-2.01
2017,1,11,7,-3.31,-2.72,-2.13
2017,1,11,8,-0.74,-0.1,0.55
2017,1,11,9,1.06,1.87,2.69
2017,1,11,10,1.96,2.94,3.94
2017,1,11,11,2.31,3.9,5.48
2017,1,11,12,2.47,4.52,6.58
2017,1,11,13,2.69,5.02,7.34
2017,1,11,14,2.97,5.26,7.56
2017,1,11,15,3.08,5.04,6.98
2017,1,11,16,2.77,4.1,5.43
2017,1,11,17,2.43,3.36,4.28
2017,1,11,18,2.76,3.51,4.26
2017,1,11,19,3.28,3.91,4.55
2017,1,11,20,3.92,4.5,5.08
2017,1,11,21,4.43,4.95,5.48
2017,1,11,22,4.76,5.24,5.73
2017,1,11,23,5.01,5.48,5.95
2017,1,12,0,5.23,5.7,6.17
2017,1,12,1,5.47,5.91,6.36
2017,1,12,2,5.8,6.24,6.69
2017,1,12,3,6.23,6.64,7.05
2017,1,12,4,6.73,7.12,7.51
2017,1,12,5,7.15,7.55,7.94
2017,1,12,6,7.4,7.82,8.24
2017,1,12,7,7.62,8.05,8.48
2017,1,12,8,7.83,8.19,8.55
2017,1,12,9,7.42,7.77,8.12
2017,1,12,10,5.63,6.27,6.9
2017,1,12,11,4.06,5.46,6.86
2017,1,12,12,3.19,5.62,8.07
2017,1,12,13,2.11,5.33,8.55
2017,1,12,14,0.9,4.59,8.28
2017,1,12,15,0.57,4,7.44
2017,1,12,16,1.08,2.94,4.81
2017,1,12,17,-1.55,0.7,2.94
2017,1,12,18,-2.09,0.21,2.5
2017,1,12,19,-2.47,-0.17,2.15
2017,1,12,20,-2.68,-0.35,1.98
2017,1,12,21,-2.75,-0.52,1.7
2017,1,12,22,-2.76,-0.37,2.01
2017,1,12,23,-2.71,-0.27,2.16
2017,1,13,0,-2.66,-0.38,1.91
2017,1,13,1,-2.66,-0.67,1.33
2017,1,13,2,-2.75,-1.18,0.4
2017,1,13,3,-2.92,-1.52,-0.11
2017,1,13,4,-3.11,-1.88,-0.64
2017,1,13,5,-3.25,-2.18,-1.1
2017,1,13,6,-3.33,-2.45,-1.58
2017,1,13,7,-3.18,-2.49,-1.8
2017,1,13,8,-1.22,-0.01,1.21
2017,1,13,9,-0.35,1.42,3.19
2017,1,13,10,0.19,3.02,5.85
2017,1,13,11,-0.03,3.79,7.6
2017,1,13,12,-0.23,4.16,8.55
2017,1,13,13,-0.28,4.33,8.95
2017,1,13,14,-0.2,4.33,8.85
2017,1,13,15,1.13,4.55,7.98
2017,1,13,16,1.16,3.01,4.86
2017,1,13,17,-1.73,0.55,2.81
2017,1,13,18,-2.37,-0.2,1.96
2017,1,13,19,-2.84,-0.94,0.97
2017,1,13,20,-3.2,-1.56,0.08
2017,1,13,21,-3.48,-2.02,-0.57
2017,1,13,22,-3.7,-2.34,-0.98
2017,1,13,23,-3.67,-2.31,-0.95
2017,1,14,0,-3.33,-1.88,-0.44
2017,1,14,1,-2.77,-1.27,0.22
2017,1,14,2,-1.88,-0.34,1.21
2017,1,14,3,-1.06,0.48,2.03
2017,1,14,4,-0.33,1.06,2.46
2017,1,14,5,0.4,1.62,2.83
2017,1,14,6,1.62,2.61,3.59
2017,1,14,7,2.94,3.62,4.3
2017,1,14,8,4.42,5.04,5.65
2017,1,14,9,5.6,6.24,6.89
2017,1,14,10,6.39,7.19,7.98
2017,1,14,11,7.11,8.08,9.06
2017,1,14,12,7.74,8.97,10.19
2017,1,14,13,7.91,9.35,10.79
2017,1,14,14,7.98,9.32,10.66
2017,1,14,15,7.93,8.98,10.01
2017,1,14,16,7.31,8.08,8.84
2017,1,14,17,6.48,7.11,7.74
2017,1,14,18,6.13,6.76,7.39
2017,1,14,19,6,6.58,7.18
2017,1,14,20,6.1,6.69,7.29
2017,1,14,21,6.25,6.81,7.37
2017,1,14,22,6.69,7.26,7.82
2017,1,14,23,7.04,7.46,7.87
2017,1,15,0,7.08,7.37,7.66
2017,1,15,1,7.18,7.48,7.8
2017,1,15,2,7.28,7.6,7.93
2017,1,15,3,7.52,7.9,8.26
2017,1,15,4,7.72,8.03,8.34
2017,1,15,5,7.71,7.93,8.15
2017,1,15,6,7.78,7.94,8.11
2017,1,15,7,7.59,7.74,7.89
2017,1,15,8,8.02,8.44,8.86
2017,1,15,9,8.67,9.58,10.5
2017,1,15,10,7.79,9.47,11.15
2017,1,15,11,7.15,9.32,11.48
2017,1,15,12,6.94,9.21,11.48
2017,1,15,13,7.05,9.17,11.29
2017,1,15,14,7.33,9.24,11.15
2017,1,15,15,7.96,9.38,10.8
2017,1,15,16,7.08,8.24,9.4
2017,1,15,17,5.6,7.02,8.44
2017,1,15,18,5.37,6.68,7.98
2017,1,15,19,5.19,6.13,7.08
2017,1,15,20,5.2,5.98,6.76
2017,1,15,21,5.19,5.72,6.25
2017,1,15,22,5.18,5.41,5.65
2017,1,15,23,5.15,5.26,5.36
2017,1,16,0,5.15,5.33,5.51
2017,1,16,1,5.05,5.37,5.7
2017,1,16,2,5.26,5.65,6.03
2017,1,16,3,6.85,7.33,7.81
2017,1,16,4,8.15,8.69,9.23
2017,1,16,5,8.3,8.87,9.44
2017,1,16,6,8.23,8.85,9.48
2017,1,16,7,8.44,9.06,9.69
2017,1,16,8,8.9,9.55,10.19
2017,1,16,9,9.44,10.14,10.84
2017,1,16,10,9.78,10.51,11.23
2017,1,16,11,10.12,10.85,11.57
2017,1,16,12,10.43,11.18,11.92
2017,1,16,13,10.43,11.22,12.01
2017,1,16,14,10.14,10.94,11.75
2017,1,16,15,9.82,10.59,11.37
2017,1,16,16,8.96,9.41,9.87
2017,1,16,17,7.52,7.76,7.98
2017,1,16,18,7.04,7.18,7.31
2017,1,16,19,6.87,6.94,7.02
2017,1,16,20,6.8,6.8,6.8
2017,1,16,21,6.76,6.67,6.58
2017,1,16,22,6.9,6.83,6.76
2017,1,16,23,7.11,7.09,7.08
2017,1,17,0,7.37,7.45,7.52
2017,1,17,1,7.44,7.55,7.65
2017,1,17,2,7.05,7.08,7.12
2017,1,17,3,6.8,6.82,6.84
2017,1,17,4,6.87,7.01,7.15
2017,1,17,5,6.94,7.15,7.36
2017,1,17,6,6.9,7.08,7.26
2017,1,17,7,7.43,7.64,7.85
2017,1,17,8,8.8,9.23,9.67
2017,1,17,9,9.73,10.34,10.95
2017,1,17,10,10.16,11.17,12.18
2017,1,17,11,9.63,11.33,13.02
2017,1,17,12,9,11.07,13.14
2017,1,17,13,8.8,10.82,12.83
2017,1,17,14,8.77,10.58,12.39
2017,1,17,15,8.89,10.24,11.59
2017,1,17,16,8.47,9.14,9.81
2017,1,17,17,7.65,8.15,8.66
2017,1,17,18,7.56,8.11,8.65
2017,1,17,19,7.51,8.07,8.62
2017,1,17,20,7.37,7.83,8.28
2017,1,17,21,7.15,7.49,7.83
2017,1,17,22,6.87,7.1,7.33
2017,1,17,23,6.49,6.58,6.68
2017,1,18,0,6.16,6.17,6.18
2017,1,18,1,6.08,6.11,6.14
2017,1,18,2,6.12,6.21,6.3
2017,1,18,3,6.19,6.41,6.63
2017,1,18,4,6.09,6.42,6.75
2017,1,18,5,5.86,6.25,6.65
2017,1,18,6,5.56,5.89,6.21
2017,1,18,7,5.36,5.51,5.67
2017,1,18,8,7.05,7.42,7.78
2017,1,18,9,7.95,8.72,9.49
2017,1,18,10,8.16,9.69,11.23
2017,1,18,11,8.05,10.18,12.3
2017,1,18,12,7.87,10.4,12.93
2017,1,18,13,7.59,10.34,13.09
2017,1,18,14,7.3,10.14,12.98
2017,1,18,15,7.43,10.01,12.58
2017,1,18,16,7.15,9.22,11.28
2017,1,18,17,5.76,7.62,9.48
2017,1,18,18,5.58,6.87,8.15
2017,1,18,19,5.26,6.12,7
2017,1,18,20,4.87,5.51,6.16
2017,1,18,21,4.42,4.94,5.44
2017,1,18,22,3.98,4.4,4.82
2017,1,18,23,3.59,3.94,4.3
2017,1,19,0,3.22,3.51,3.81
2017,1,19,1,2.89,3.15,3.41
2017,1,19,2,2.55,2.78,3.01
2017,1,19,3,2.27,2.51,2.76
2017,1,19,4,2.1,2.39,2.68
2017,1,19,5,1.97,2.27,2.57
2017,1,19,6,1.83,2.18,2.53
2017,1,19,7,2.18,2.85,3.53
2017,1,19,8,2.8,3.91,5.02
2017,1,19,9,3.83,5.12,6.4
2017,1,19,10,5.42,6.83,8.24
2017,1,19,11,6.73,8.65,10.59
2017,1,19,12,7.44,9.6,11.76
2017,1,19,13,7.77,9.94,12.12
2017,1,19,14,7.98,10.05,12.11
2017,1,19,15,8.78,10.15,11.52
2017,1,19,16,7.77,8.88,10
2017,1,19,17,6.9,7.91,8.92
2017,1,19,18,7.26,7.98,8.69
2017,1,19,19,7.4,7.91,8.43
2017,1,19,20,7.31,7.68,8.05
2017,1,19,21,7.18,7.49,7.81
2017,1,19,22,7.01,7.23,7.46
2017,1,19,23,6.87,6.91,6.95
2017,1,20,0,6.76,6.68,6.59
2017,1,20,1,6.62,6.57,6.51
2017,1,20,2,6.28,6.25,6.22
2017,1,20,3,5.97,5.98,5.98
2017,1,20,4,5.51,5.62,5.73
2017,1,20,5,4.92,5.13,5.34
2017,1,20,6,4.23,4.49,4.76
2017,1,20,7,3.59,3.92,4.25
2017,1,20,8,3.23,3.78,4.33
2017,1,20,9,3.26,4.21,5.16
2017,1,20,10,3.54,5.13,6.73
2017,1,20,11,3.65,6.01,8.36
2017,1,20,12,3.53,6.4,9.27
2017,1,20,13,3.33,6.46,9.58
2017,1,20,14,3.01,6.19,9.35
2017,1,20,15,2.7,5.58,8.44
2017,1,20,16,2.55,4.6,6.64
2017,1,20,17,1.68,3.02,4.37
2017,1,20,18,1.05,2.11,3.18
2017,1,20,19,0.59,1.48,2.37
2017,1,20,20,0.23,0.8,1.37
2017,1,20,21,-0.1,0.22,0.55
2017,1,20,22,-0.45,-0.3,-0.14
2017,1,20,23,-0.88,-0.81,-0.75
2017,1,21,0,-1.28,-1.24,-1.2
2017,1,21,1,-1.6,-1.6,-1.61
2017,1,21,2,-1.84,-1.9,-1.97
2017,1,21,3,-2.03,-2.17,-2.31
2017,1,21,4,-2.2,-2.42,-2.63
2017,1,21,5,-2.31,-2.59,-2.86
2017,1,21,6,-2.42,-2.72,-3.02
2017,1,21,7,-2.43,-2.52,-2.62
2017,1,21,8,-1.75,-1.02,-0.29
2017,1,21,9,-0.79,0.83,2.45
2017,1,21,10,0.36,2.85,5.34
2017,1,21,11,1.19,4.48,7.79
2017,1,21,12,1.55,5.26,8.97
2017,1,21,13,1.49,5.43,9.37
2017,1,21,14,1.16,5.18,9.19
2017,1,21,15,1.08,4.72,8.36
2017,1,21,16,1.99,3.8,5.59
2017,1,21,17,-0.17,1.05,2.28
2017,1,21,18,-1.09,0.05,1.19
2017,1,21,19,-1.81,-0.82,0.17
