YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2017,1,7,18,98.22,4,24.61,5.66
2017,1,7,19,98.23,4.41,27.56,6.04
2017,1,7,20,98.23,4.57,31.57,6.24
2017,1,7,21,98.21,4.61,33.45,6.13
2017,1,7,22,98.17,4.71,35.69,6.09
2017,1,7,23,98.13,4.76,35.78,6.18
2017,1,8,0,98.09,4.75,34.61,6.24
2017,1,8,1,98.05,4.68,33.42,6.21
2017,1,8,2,98,4.69,30.46,6.2
2017,1,8,3,97.96,4.66,26.26,6.05
2017,1,8,4,97.88,4.96,27.49,6.18
2017,1,8,5,97.86,4.88,28.37,6.11
2017,1,8,6,97.87,4.7,25.8,5.96
2017,1,8,7,97.89,4.73,22.54,5.97
2017,1,8,8,97.91,5.21,22.68,6.52
2017,1,8,9,97.92,5.97,23.18,7.13
2017,1,8,10,97.92,6.57,21.5,7.63
2017,1,8,11,97.89,6.53,13,7.53
2017,1,8,12,97.87,6.6,4.14,7.65
2017,1,8,13,97.88,6.82,0.46,8
2017,1,8,14,97.91,6.71,0.6,8.08
2017,1,8,15,97.96,6.05,358.67,7.61
2017,1,8,16,98.05,4.6,351.99,6.76
2017,1,8,17,98.11,4,351.24,6.57
2017,1,8,18,98.16,4.06,354.71,6.45
2017,1,8,19,98.2,3.91,359.43,6.22
2017,1,8,20,98.21,3.71,3.5,5.84
2017,1,8,21,98.22,3.4,7.52,5.24
2017,1,8,22,98.22,3.17,12.25,4.79
2017,1,8,23,98.21,2.94,17.33,4.33
2017,1,9,0,98.21,2.93,21.23,3.84
2017,1,9,1,98.22,2.73,24.29,3.38
2017,1,9,2,98.22,2.47,29.32,3.06
2017,1,9,3,98.18,2.4,36.27,2.98
2017,1,9,4,98.16,2.24,45.42,2.74
2017,1,9,5,98.17,2.21,54.23,2.69
2017,1,9,6,98.2,2.16,61.95,2.63
2017,1,9,7,98.23,2.06,68.2,2.52
2017,1,9,8,98.29,2,73.69,2.46
2017,1,9,9,98.35,1.96,79.67,2.44
2017,1,9,10,98.38,1.71,82.13,1.97
2017,1,9,11,98.34,1.08,91.25,1.38
2017,1,9,12,98.29,0.82,127.64,1.15
2017,1,9,13,98.27,0.96,160.97,1.36
2017,1,9,14,98.27,1.18,170.48,1.61
2017,1,9,15,98.29,1.02,168.52,1.56
2017,1,9,16,98.31,0.96,153.43,1.4
2017,1,9,17,98.36,1.07,128.2,1.51
2017,1,9,18,98.4,1.42,112.62,2.05
2017,1,9,19,98.42,1.77,106.12,2.63
2017,1,9,20,98.41,2.11,100.65,3.33
2017,1,9,21,98.38,2.42,99.86,4.07
2017,1,9,22,98.34,2.65,104,4.63
2017,1,9,23,98.29,2.83,103.58,4.88
2017,1,10,0,98.23,2.87,97.82,5.17
2017,1,10,1,98.18,3.01,93.86,5.66
2017,1,10,2,98.1,3.25,88.35,6.19
2017,1,10,3,98,3.66,86.45,6.52
2017,1,10,4,97.91,4.14,84.81,6.8
2017,1,10,5,97.79,5.05,80.83,7.57
2017,1,10,6,97.66,5.89,78.82,8.18
2017,1,10,7,97.5,6.63,77,8.67
2017,1,10,8,97.35,6.66,81.5,8.63
2017,1,10,9,97.3,7.56,112.43,11.05
2017,1,10,10,97.24,7.4,133.12,11.11
2017,1,10,11,97.15,6.11,141.23,9.76
2017,1,10,12,97.05,4.95,143.67,8
2017,1,10,13,97.03,3.8,164.99,6.18
2017,1,10,14,97.17,3.31,205.78,5.4
2017,1,10,15,97.3,2.63,226.2,4.76
2017,1,10,16,97.45,2.57,225.49,5.04
2017,1,10,17,97.62,3.08,220.68,6.14
2017,1,10,18,97.75,3.35,213.69,6.73
2017,1,10,19,97.86,3.52,209.92,7.2
2017,1,10,20,97.94,3.78,206.67,7.82
2017,1,10,21,98.03,4.33,206.8,8.82
2017,1,10,22,98.11,4.55,209.38,8.83
2017,1,10,23,98.2,4.33,211.94,8.6
2017,1,11,0,98.27,4.18,217.02,8.31
2017,1,11,1,98.36,3.66,225.09,7.58
2017,1,11,2,98.49,3.26,231.43,6.37
2017,1,11,3,98.56,3.08,226.23,5.57
2017,1,11,4,98.64,2.87,217.71,4.64
2017,1,11,5,98.75,2.68,201.93,3.96
2017,1,11,6,98.87,2.68,183.85,3.9
2017,1,11,7,98.96,2.82,165.89,4.23
2017,1,11,8,99.02,2.9,149.01,4.78
2017,1,11,9,99.06,3.62,139.99,4.98
2017,1,11,10,99.07,4.21,147.72,5.8
2017,1,11,11,99.03,5.34,164.11,7.59
2017,1,11,12,98.99,6.24,172.87,8.91
2017,1,11,13,98.98,6.78,177.69,9.7
2017,1,11,14,98.97,6.93,178.9,10.2
2017,1,11,15,98.97,6.68,177.65,10.64
2017,1,11,16,98.98,6.18,175.28,11.07
2017,1,11,17,99,6.17,174.92,11.58
